ba,year,month,hydro_gen_mwh,hydro_capacity,hours_in_month,hydro_num_sites,hydro_cf
PSCO,2003,5,8836.22821,38.932,744,14,0.3050614101482706
PSCO,2003,6,8228.79612,38.932,720,14,0.2935601433268263
PSCO,2003,7,6324.5332,38.932,744,14,0.21834780300695228
PSCO,2003,8,5166.688660000001,38.932,744,14,0.17837444789315587
PSCO,2003,9,4113.1436699999995,38.932,720,14,0.14673532162916533
PSCO,2003,10,3541.4223999999995,38.932,744,14,0.12226385349034266
PSCO,2003,11,4388.1452,38.932,720,14,0.15654592908432935
PSCO,2003,12,4505.995440000001,38.932,744,14,0.1555647149869251
PSCO,2004,1,4855.168369999999,38.932,744,14,0.16761954017702768
PSCO,2004,2,10116.11319,38.932,696,14,0.3733341566816766
PSCO,2004,3,10665.96838,38.932,744,14,0.36823124949595043
PSCO,2004,4,9090.618149999998,38.932,720,14,0.3243054182078153
PSCO,2004,5,8161.123959999999,38.932,744,14,0.2817541517108959
PSCO,2004,6,7162.638500000001,38.932,720,14,0.255525249865863
PSCO,2004,7,7109.54397,38.932,744,14,0.24544946751656319
PSCO,2004,8,7726.0662999999995,38.932,744,14,0.26673424727868494
PSCO,2004,9,6053.29977,38.932,720,14,0.21594988163122023
PSCO,2004,10,6503.46397,38.932,744,14,0.22452519812598531
PSCO,2004,11,7998.842349999998,38.932,720,14,0.28535660289450543
PSCO,2004,12,7053.27669,38.932,744,14,0.2435068993331632
PSCO,2005,1,9097.73707,38.932,744,14,0.31408972626934856
PSCO,2005,2,3786.7934400000004,38.932,672,14,0.14474235296707813
PSCO,2005,3,4671.953240000001,38.932,744,14,0.16129423207158003
PSCO,2005,4,7786.1539,38.932,720,14,0.27776899822482504
PSCO,2005,5,12394.24947,38.932,744,14,0.42789832168081315
PSCO,2005,6,15411.744869999999,38.932,720,14,0.5498099560344532
PSCO,2005,7,14695.947629999999,38.932,744,14,0.5073620102295814
PSCO,2005,8,11158.59687,38.932,744,14,0.38523872579319435
PSCO,2005,9,8610.950649999999,38.932,720,14,0.3071934059528294
PSCO,2005,10,5297.33548,38.932,744,14,0.18288489083254067
PSCO,2005,11,3962.51109,38.932,720,14,0.14136154384567964
PSCO,2005,12,5074.969010000001,38.932,744,14,0.17520792422464757
PSCO,2006,1,7284.483800000001,38.932,744,14,0.25148907966357664
PSCO,2006,2,11507.842059999999,38.932,672,14,0.43986347914923696
PSCO,2006,3,12162.717939999997,38.932,744,14,0.41990494109387294
PSCO,2006,4,13010.084500000003,38.932,720,14,0.46413135224379837
PSCO,2006,5,13968.46901,38.932,744,14,0.4822465821990148
PSCO,2006,6,12719.355580000001,38.932,720,14,0.4537596742753747
PSCO,2006,7,9956.963829999997,38.932,744,14,0.3437536191446016
PSCO,2006,8,7713.50771,38.932,744,14,0.2663006752744515
PSCO,2006,9,6523.2933299999995,38.932,720,14,0.2327167786139936
PSCO,2006,10,6607.29187,38.932,744,14,0.2281097462877098
PSCO,2006,11,6195.223130000001,38.932,720,14,0.22101296027546607
PSCO,2006,12,5811.181169999999,38.932,744,14,0.2006248684637896
PSCO,2007,1,7427.572279999999,38.932,744,14,0.2564290577229224
PSCO,2007,2,6416.29889,38.932,672,14,0.24524976431739343
PSCO,2007,3,9372.59461,38.932,744,14,0.3235788914142
PSCO,2007,4,11094.506399999998,38.932,720,14,0.395793605945409
PSCO,2007,5,14181.26761,38.932,744,14,0.48959322823969886
PSCO,2007,6,14997.93988,38.932,720,14,0.535047571549254
PSCO,2007,7,11464.100670000002,38.932,744,14,0.39578592057118617
PSCO,2007,8,10319.45324,38.932,744,14,0.35626818168761853
PSCO,2007,9,6979.551010000001,38.932,720,14,0.24899365168042287
PSCO,2007,10,5638.755979999999,38.932,744,14,0.19467207159657474
PSCO,2007,11,4408.624269999999,38.932,720,14,0.1572765145353151
